Target Distance: 50, Step Size: 2
318: x, y: 31.5511, 0

319: x, y: 31.1353, 0

320: x, y: 31.7533, 0

321: x, y: 33.4854, 0

322: x, y: 34.8747, 0

323: x, y: 35.3246, 0

324: x, y: 34.6078, 0

325: x, y: 36.6002, 0

326: x, y: 37.9642, 0

327: x, y: 35.9718, 0

328: x, y: 36.3191, 0

329: x, y: 34.3438, 0

330: x, y: 33.2254, 0

331: x, y: 32.2864, 0

332: x, y: 34.2837, 0

333: x, y: 34.5966, 0

334: x, y: 33.2844, 0

335: x, y: 32.9371, 0

336: x, y: 32.7976, 0

337: x, y: 34.7382, 0

338: x, y: 36.7233, 0

339: x, y: 38.7124, 0

340: x, y: 37.4537, 0

341: x, y: 39.0297, 0

342: x, y: 40.5618, 0

343: x, y: 40.9776, 0

344: x, y: 42.096, 0

345: x, y: 41.9565, 0

346: x, y: 41.8518, 0

347: x, y: 41.3342, 0

348: x, y: 39.3345, 0

349: x, y: 40.2113, 0

350: x, y: 39.3033, 0

351: x, y: 37.4122, 0

352: x, y: 38.5306, 0

353: x, y: 36.6635, 0

354: x, y: 35.6036, 0

355: x, y: 37.2419, 0

356: x, y: 36.3652, 0

357: x, y: 34.5832, 0

358: x, y: 32.5844, 0

359: x, y: 32.0331, 0

360: x, y: 32.6512, 0

361: x, y: 34.2484, 0

362: x, y: 32.8591, 0

363: x, y: 30.9919, 0

364: x, y: 32.3813, 0

365: x, y: 33.9134, 0

366: x, y: 32.4039, 0

367: x, y: 32.5434, 0

368: x, y: 33.4202, 0

369: x, y: 34.9065, 0

370: x, y: 36.9053, 0

371: x, y: 35.0926, 0

372: x, y: 36.6021, 0

373: x, y: 37.9142, 0

374: x, y: 39.4685, 0

375: x, y: 38.0543, 0

376: x, y: 37.5366, 0

377: x, y: 39.1339, 0

378: x, y: 39.4122, 0

379: x, y: 41.3348, 0

380: x, y: 42.2427, 0

381: x, y: 42.8275, 0

382: x, y: 40.8302, 0

383: x, y: 39.081, 0

384: x, y: 37.0859, 0

385: x, y: 35.4476, 0

386: x, y: 37.2451, 0

387: x, y: 35.5131, 0

388: x, y: 37.279, 0

389: x, y: 36.4655, 0

390: x, y: 38.4506, 0

391: x, y: 39.3895, 0

392: x, y: 38.5443, 0

393: x, y: 36.6125, 0

394: x, y: 34.6152, 0

395: x, y: 36.4824, 0

396: x, y: 35.6371, 0

397: x, y: 34.2229, 0

398: x, y: 33.773, 0

399: x, y: 33.8079, 0

400: x, y: 34.9551, 0

401: x, y: 36.8957, 0

402: x, y: 38.6616, 0

403: x, y: 38.1777, 0

404: x, y: 40.175, 0

405: x, y: 38.3206, 0

406: x, y: 39.0373, 0

407: x, y: 37.081, 0

408: x, y: 37.5987, 0

409: x, y: 37.1488, 0

410: x, y: 35.1734, 0

411: x, y: 35.5892, 0

412: x, y: 34.5892, 0

413: x, y: 35.005, 0

414: x, y: 34.2883, 0

415: x, y: 33.8725, 0

416: x, y: 31.8834, 0

417: x, y: 33.2474, 0

418: x, y: 31.738, 0

419: x, y: 29.7429, 0

420: x, y: 27.8519, 0

421: x, y: 26.7335, 0

422: x, y: 28.4478, 0

423: x, y: 26.9851, 0

424: x, y: 25.0941, 0

425: x, y: 24.2806, 0

426: x, y: 23.2806, 0

427: x, y: 25.256, 0

428: x, y: 27.1231, 0

429: x, y: 29.0025, 0

430: x, y: 28.0636, 0

431: x, y: 30.0608, 0

432: x, y: 30.6789, 0

433: x, y: 29.4752, 0

434: x, y: 30.3832, 0

435: x, y: 32.3151, 0

436: x, y: 31.285, 0

437: x, y: 31.4593, 0

438: x, y: 29.496, 0

439: x, y: 31.4766, 0

440: x, y: 29.7445, 0

441: x, y: 30.4286, 0

442: x, y: 31.7668, 0

443: x, y: 30.5632, 0

444: x, y: 29.8465, 0

445: x, y: 31.6285, 0

446: x, y: 30.1191, 0

447: x, y: 31.9011, 0

448: x, y: 32.5851, 0

449: x, y: 34.1611, 0

450: x, y: 32.2293, 0

451: x, y: 30.2805, 0

452: x, y: 28.4012, 0

453: x, y: 26.9625, 0

454: x, y: 27.7117, 0

455: x, y: 28.1955, 0

456: x, y: 29.2256, 0

457: x, y: 31.1575, 0

458: x, y: 32.9985, 0

459: x, y: 32.0595, 0

460: x, y: 32.2338, 0

461: x, y: 30.8698, 0

462: x, y: 32.5842, 0

463: x, y: 32.1343, 0

464: x, y: 30.1647, 0

465: x, y: 29.0754, 0

466: x, y: 29.4227, 0

467: x, y: 30.9321, 0

468: x, y: 28.9625, 0

469: x, y: 27.2481, 0

470: x, y: 29.2114, 0

471: x, y: 30.497, 0

472: x, y: 32.4533, 0

473: x, y: 30.7389, 0

474: x, y: 32.6877, 0

475: x, y: 32.862, 0

476: x, y: 32.7225, 0

477: x, y: 34.3608, 0

478: x, y: 32.5064, 0

479: x, y: 33.4454, 0

480: x, y: 35.358, 0

481: x, y: 37.0723, 0

482: x, y: 36.9328, 0

483: x, y: 36.863, 0

484: x, y: 35.0359, 0

485: x, y: 34.1592, 0

486: x, y: 34.575, 0

487: x, y: 32.5899, 0

488: x, y: 32.4852, 0

489: x, y: 32.3805, 0

490: x, y: 30.5134, 0

491: x, y: 30.4436, 0

492: x, y: 29.0049, 0

493: x, y: 28.97, 0

494: x, y: 30.752, 0

495: x, y: 32.6646, 0

496: x, y: 33.783, 0

497: x, y: 35.7149, 0

498: x, y: 37.5942, 0

499: x, y: 38.0781, 0

500: x, y: 39.5408, 0

501: x, y: 38.481, 0

502: x, y: 36.8629, 0

503: x, y: 37.5797, 0

504: x, y: 39.5794, 0

505: x, y: 37.6231, 0

506: x, y: 39.4774, 0

507: x, y: 41.4762, 0

508: x, y: 40.6947, 0

509: x, y: 39.1187, 0

510: x, y: 38.7029, 0

511: x, y: 37.3136, 0

512: x, y: 35.4464, 0

513: x, y: 35.7248, 0

514: x, y: 35.5157, 0

515: x, y: 35.6204, 0

516: x, y: 33.7293, 0

517: x, y: 35.6087, 0

518: x, y: 37.6039, 0

519: x, y: 39.5264, 0

520: x, y: 41.3674, 0

521: x, y: 40.1918, 0

522: x, y: 38.5535, 0

523: x, y: 36.631, 0

524: x, y: 37.8346, 0

525: x, y: 36.1026, 0

526: x, y: 34.5053, 0

527: x, y: 32.828, 0

528: x, y: 32.3441, 0

529: x, y: 31.7594, 0

530: x, y: 33.6504, 0

531: x, y: 31.658, 0

532: x, y: 31.1404, 0

533: x, y: 32.7787, 0

534: x, y: 33.5279, 0

535: x, y: 31.6153, 0

536: x, y: 30.6457, 0

537: x, y: 29.207, 0

538: x, y: 27.366, 0

539: x, y: 29.0621, 0

540: x, y: 31.0426, 0

541: x, y: 32.9552, 0

542: x, y: 33.4729, 0

543: x, y: 34.4425, 0

544: x, y: 32.4729, 0

545: x, y: 34.3855, 0

546: x, y: 33.4775, 0

547: x, y: 34.8415, 0

548: x, y: 36.0171, 0

549: x, y: 36.2608, 0

550: x, y: 38.0428, 0

551: x, y: 40.0279, 0

552: x, y: 40.9975, 0

553: x, y: 39.1704, 0

554: x, y: 38.2008, 0

555: x, y: 40.0279, 0

556: x, y: 40.2022, 0

557: x, y: 42.1828, 0

558: x, y: 42.4956, 0

559: x, y: 43.5849, 0

560: x, y: 45.412, 0

561: x, y: 47.1779, 0

562: x, y: 47.5252, 0

563: x, y: 45.5498, 0

564: x, y: 46.9885, 0

565: x, y: 45.9287, 0

566: x, y: 47.6607, 0

567: x, y: 45.7288, 0

568: x, y: 47.5559, 0

569: x, y: 47.5908, 0

570: x, y: 46.1522, 0

571: x, y: 46.7034, 0

572: x, y: 44.7908, 0

573: x, y: 44.0741, 0

574: x, y: 45.8867, 0

575: x, y: 44.9787, 0

576: x, y: 42.9836, 0

577: x, y: 44.1592, 0

578: x, y: 42.2798, 0

579: x, y: 40.4004, 0

580: x, y: 39.0621, 0

581: x, y: 37.3478, 0

582: x, y: 35.5207, 0

583: x, y: 35.0708, 0

584: x, y: 35.2799, 0

585: x, y: 37.2723, 0

586: x, y: 38.8903, 0

587: x, y: 38.5087, 0

588: x, y: 38.5785, 0

589: x, y: 36.7659, 0

590: x, y: 34.8433, 0

591: x, y: 36.6409, 0

592: x, y: 38.259, 0

593: x, y: 40.0565, 0

594: x, y: 38.1894, 0

595: x, y: 37.2504, 0

596: x, y: 35.2614, 0

597: x, y: 33.7293, 0

598: x, y: 35.7047, 0

599: x, y: 34.7047, 0

600: x, y: 36.259, 0

601: x, y: 34.3271, 0

602: x, y: 34.5362, 0

603: x, y: 36.1943, 0

604: x, y: 36.1245, 0

605: x, y: 38.0155, 0

606: x, y: 39.4297, 0

607: x, y: 37.4325, 0

608: x, y: 39.4312, 0

609: x, y: 37.4825, 0

610: x, y: 39.4143, 0

611: x, y: 40.853, 0

612: x, y: 42.217, 0

613: x, y: 40.9584, 0

614: x, y: 42.0477, 0

615: x, y: 41.943, 0

616: x, y: 43.6203, 0

617: x, y: 42.3082, 0

618: x, y: 43.6975, 0

619: x, y: 45.6101, 0

620: x, y: 47.2074, 0

621: x, y: 45.4415, 0

622: x, y: 47.4339, 0

623: x, y: 49.0312, 0

624: x, y: 49.101, 0

625: x, y: 48.5497, 0

626: x, y: 49.3949, 0

627: x, y: 50.7332, 0

After 627 steps, the subject has the following location:
x, y: 50.7332, 0

 or
mag, ang: 50.7332, 0

Average outward distance per step = 0.0809142

Target Distance: 100, Step Size: 2
0: x, y: 0, 0

1: x, y: -1.82709, 0

2: x, y: -1.9666, 0

3: x, y: -0.0644908, 0

4: x, y: 1.7331, 0

5: x, y: -0.223198, 0

6: x, y: 1.60389, 0

7: x, y: 1.32555, 0

8: x, y: -0.644069, 0

9: x, y: 1.03327, 0

10: x, y: 1.03327, 0

11: x, y: 2.84589, 0

12: x, y: 3.99304, 0

13: x, y: 2.0443, 0

14: x, y: 3.30294, 0

15: x, y: 2.92132, 0

16: x, y: 0.926195, 0

17: x, y: 0.0494531, 0

18: x, y: 2.03455, 0

19: x, y: 4.03424, 0

20: x, y: 2.04915, 0

21: x, y: 0.147035, 0

22: x, y: 1.60974, 0

23: x, y: 1.95704, 0

24: x, y: 3.59534, 0

25: x, y: 1.918, 0

26: x, y: 3.84985, 0

27: x, y: 5.75197, 0

28: x, y: 5.85664, 0

29: x, y: 7.85664, 0

30: x, y: 8.03095, 0

31: x, y: 6.61674, 0

32: x, y: 4.67615, 0

33: x, y: 4.74594, 0

34: x, y: 6.52796, 0

35: x, y: 6.11213, 0

36: x, y: 6.92561, 0

37: x, y: 8.43503, 0

38: x, y: 10.1124, 0

39: x, y: 8.53635, 0

40: x, y: 7.81961, 0

41: x, y: 9.49695, 0

42: x, y: 9.9808, 0

43: x, y: 11.6389, 0

44: x, y: 10.2002, 0

45: x, y: 11.1082, 0

46: x, y: 10.8298, 0

47: x, y: 12.8271, 0

48: x, y: 12.862, 0

49: x, y: 13.6435, 0

50: x, y: 13.5737, 0

51: x, y: 11.5813, 0

52: x, y: 10.2173, 0

53: x, y: 9.93892, 0

54: x, y: 11.0282, 0

55: x, y: 9.21558, 0

56: x, y: 9.32025, 0

57: x, y: 10.9586, 0

58: x, y: 10.7148, 0

59: x, y: 10.6799, 0

60: x, y: 12.6772, 0

61: x, y: 11.1229, 0

62: x, y: 11.4012, 0

63: x, y: 10.8165, 0

64: x, y: 12.7483, 0

65: x, y: 11.0903, 0

66: x, y: 12.5766, 0

67: x, y: 10.6012, 0

68: x, y: 10.3574, 0

69: x, y: 12.2893, 0

70: x, y: 11.3197, 0

71: x, y: 10.3807, 0

72: x, y: 10.9988, 0

73: x, y: 12.9911, 0

74: x, y: 11.9611, 0

75: x, y: 11.5452, 0

76: x, y: 13.2413, 0

77: x, y: 14.211, 0

78: x, y: 16.1863, 0

79: x, y: 16.0468, 0

80: x, y: 17.7429, 0

81: x, y: 15.7539, 0

82: x, y: 13.7785, 0

83: x, y: 14.2961, 0

84: x, y: 13.1206, 0

85: x, y: 14.6069, 0

86: x, y: 12.6372, 0

87: x, y: 11.548, 0

88: x, y: 12.9622, 0

89: x, y: 14.5802, 0

90: x, y: 15.2643, 0

91: x, y: 16.7505, 0

92: x, y: 16.6459, 0

93: x, y: 17.6155, 0

94: x, y: 19.4131, 0

95: x, y: 21.3694, 0

96: x, y: 20.4614, 0

97: x, y: 21.0127, 0

98: x, y: 19.3744, 0

99: x, y: 18.7563, 0

100: x, y: 20.015, 0

101: x, y: 18.6257, 0

102: x, y: 19.9897, 0

103: x, y: 18.3123, 0

104: x, y: 19.8883, 0

105: x, y: 18.0907, 0

106: x, y: 16.2236, 0

107: x, y: 16.4326, 0

108: x, y: 14.4354, 0

109: x, y: 14.8853, 0

110: x, y: 15.2326, 0

111: x, y: 14.263, 0

112: x, y: 15.293, 0

113: x, y: 13.6157, 0

114: x, y: 13.1319, 0

115: x, y: 12.6142, 0

116: x, y: 11.2249, 0

117: x, y: 12.9741, 0

118: x, y: 12.8346, 0

119: x, y: 10.8349, 0

120: x, y: 9.02231, 0

121: x, y: 8.17708, 0

122: x, y: 9.51534, 0

123: x, y: 11.3424, 0

124: x, y: 9.72439, 0

125: x, y: 10.7244, 0

126: x, y: 9.54882, 0

127: x, y: 11.5121, 0

128: x, y: 13.3392, 0

129: x, y: 12.1355, 0

130: x, y: 10.1504, 0

131: x, y: 9.24247, 0

132: x, y: 7.26709, 0

133: x, y: 6.85127, 0

134: x, y: 7.85127, 0

135: x, y: 6.88165, 0

136: x, y: 8.82224, 0

137: x, y: 7.35953, 0

138: x, y: 7.97756, 0

139: x, y: 7.59595, 0

140: x, y: 6.97791, 0

141: x, y: 8.70996, 0

142: x, y: 8.29414, 0

143: x, y: 7.0355, 0

144: x, y: 7.17501, 0

145: x, y: 8.7293, 0

146: x, y: 7.91583, 0

147: x, y: 6.42954, 0

148: x, y: 6.77684, 0

149: x, y: 7.74646, 0

150: x, y: 8.05933, 0

151: x, y: 9.69763, 0

152: x, y: 11.6202, 0

153: x, y: 13.1744, 0

154: x, y: 13.5561, 0

155: x, y: 12.4962, 0

156: x, y: 14.4716, 0

157: x, y: 12.5229, 0

158: x, y: 10.6557, 0

159: x, y: 11.745, 0

160: x, y: 13.7438, 0

161: x, y: 15.7134, 0

162: x, y: 14.2747, 0

163: x, y: 14.6563, 0

164: x, y: 12.6591, 0

165: x, y: 10.8047, 0

166: x, y: 10.2199, 0

167: x, y: 8.90783, 0

168: x, y: 8.15861, 0

169: x, y: 6.56134, 0

170: x, y: 5.53126, 0

171: x, y: 3.53248, 0

172: x, y: 1.69147, 0

173: x, y: -0.300916, 0

174: x, y: 1.18537, 0

175: x, y: -0.596639, 0

176: x, y: -1.71502, 0

177: x, y: -2.65397, 0

178: x, y: -1.45034, 0

179: x, y: -1.17199, 0

180: x, y: 0.719045, 0

181: x, y: 2.18175, 0

182: x, y: 0.369137, 0

183: x, y: -0.778016, 0

184: x, y: 1.20252, 0

185: x, y: 3.14311, 0

186: x, y: 4.98412, 0

187: x, y: 6.56014, 0

188: x, y: 4.96287, 0

189: x, y: 3.43078, 0

190: x, y: 5.32182, 0

191: x, y: 4.17467, 0

192: x, y: 4.07, 0

193: x, y: 2.3041, 0

194: x, y: 1.33448, 0

195: x, y: 3.32352, 0

196: x, y: 3.11447, 0

197: x, y: 2.69864, 0

198: x, y: 1.33465, 0

199: x, y: -0.634968, 0

200: x, y: 1.17765, 0

201: x, y: 2.46322, 0

202: x, y: 2.70696, 0

203: x, y: 1.17487, 0

204: x, y: 0.896527, 0

205: x, y: 1.0012, 0

206: x, y: 1.41702, 0

207: x, y: 2.29376, 0

208: x, y: 0.345024, 0

209: x, y: 2.29376, 0

210: x, y: 3.44092, 0

211: x, y: 3.68466, 0

212: x, y: 5.34273, 0

213: x, y: 4.34273, 0

214: x, y: 6.33786, 0

215: x, y: 8.33025, 0

216: x, y: 6.73298, 0

217: x, y: 7.85136, 0

218: x, y: 8.5025, 0

219: x, y: 8.5025, 0

220: x, y: 6.51346, 0

221: x, y: 8.51346, 0

222: x, y: 9.13149, 0

223: x, y: 7.81937, 0

224: x, y: 8.75831, 0

225: x, y: 7.29561, 0

226: x, y: 8.93391, 0

227: x, y: 10.9312, 0

228: x, y: 9.06401, 0

229: x, y: 7.25139, 0

230: x, y: 6.80149, 0

231: x, y: 5.3152, 0

232: x, y: 6.09666, 0

233: x, y: 7.1565, 0

234: x, y: 6.1565, 0

235: x, y: 4.95287, 0

236: x, y: 6.92825, 0

237: x, y: 8.26651, 0

238: x, y: 6.46892, 0

239: x, y: 5.75219, 0

240: x, y: 4.57662, 0

241: x, y: 2.60124, 0

242: x, y: 1.36992, 0

